volunteer,track,date,time,sky,rain,latitude,longitude,closest trap/tracking tunnel,band,new bands,age,sex,# mealworms given,# fed to partner/nestlings/fledglings,# consumed,# cached,interaction,other animal sighting/s,"notes, other activity",trap,lat,lng,aka
rachel w,Highbury Fling,2023-11-30,18:00,Mostly clear,None,,,63,OW-WM,,,,,,,,Known territory,,,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-11-30,18:30,Mostly clear,None,,,66,WM-GO,,,,,,,,Known territory,Titipounamu,"Appeared near trail, feeding fledgling up hill where it starts to even out",66,-41.29769233642708,174.7505392149956,
rachel w,Highbury Fling,2023-11-30,18:30,Mostly clear,None,,,66,RY-WM,,,,,,,,Known territory,,,66,-41.29769233642708,174.7505392149956,
annette h,Highbury Fling,2023-12-01,13:30,Mostly clear,None,,,63.1,WM-RR,,,,,,,,Known territory,,Nr track @ 63.1. Fed WM-OG devotedly above and below track..,63,-41.29896942789763,174.7507283955656,
annette h,Highbury Fling,2023-12-01,13:30,Mostly clear,None,,,63.1,WM-OG,,,,,,,,Known territory,,Very mobile but stayed high in trees,63,-41.29896942789763,174.7507283955656,
annette h,Highbury Fling,2023-12-01,14:05,Mostly clear,None,,,63,OW-WM,,,,,,,,Known territory,,"Appeared after ~35mins, below track. Came down to the ground on the track and was very friendly",63,-41.29896942789763,174.7507283955656,
annette h,Highbury Fling,2023-12-01,14:25,Mostly clear,None,,,64,GM-WY,,,,,,,,Known territory,,Incubating. Very hungry,64,-41.298473447882344,174.7503399587341,
annette h,Highbury Fling,2023-12-01,15:05,Mostly clear,None,,,66,WM-GO,,,,,,,,Known territory,,Came to track nr 66. Fed FL devotedly,66,-41.29769233642708,174.7505392149956,
annette h,Highbury Fling,2023-12-01,15:30,Mostly clear,None,,,66,RY-WM,,,,,,,,Known territory,,Now right up next to steep part of downhill bike track. Only ~ 1m off the ground but in messy tangle of fallen pine branches and vegetation,66,-41.29769233642708,174.7505392149956,
camera trap 61,Highbury Fling,2023-12-02,09:51,Overcast,None,,,61,WW-WM,,,,,,,,Incidental,,Bathing on Secret Bath camera,61,-41.299977561255695,174.75064038086316,
rachel w,Highbury Fling,2023-12-02,10:00,Overcast,None,,,66,WM-GO,,,,,,,,Known territory,,Came down to track and followed down into gully. I followed up the hill until I could hear RY being fed,66,-41.29769233642708,174.7505392149956,
rachel w,Highbury Fling,2023-12-02,10:30,Overcast,None,,,66,RY-WM,,,,,,,,Known territory,,Similar location to yesterday,66,-41.29769233642708,174.7505392149956,
rachel w,Highbury Fling,2023-12-02,10:30,Overcast,None,,,64,GM-WY,,,,,,,,Known territory,,Came off the nest to see me when I was part way down the hill. Very hungry. RR appeared but was taking food away for fledglings. Didn't feed WY,64,-41.298473447882344,174.7503399587341,
rachel w,Highbury Fling,2023-12-02,10:30,Overcast,None,,,64,WM-RR,,,,,,,,Known territory,,Singing loudly,64,-41.298473447882344,174.7503399587341,
rachel w,Highbury Fling,2023-12-02,11:07,Overcast,None,,,62-63,WM-RW,,,,,,,,Known territory,,,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-12-03,13:30,Overcast,Moderate,,,66,WM-GO,,,,,,,,Known territory,,Still taking food uphill to fledgling. Too wet to follow today but seems to be same area as yesterday and day before,66,-41.29769233642708,174.7505392149956,
rachel w,Highbury Fling,2023-12-03,13:45,Overcast,Moderate,,,64,GM-WY,,,,,,,,Known territory,,Came off nest to see me when I was in the area. Didn't seem as hungry as the last few days,64,-41.298473447882344,174.7503399587341,
rachel w,Highbury Fling,2023-12-03,14:15,Overcast,Moderate,,,Hoki Mai,YM-OR,,,,,,,,Known territory,,Quietly following me near bottom of Hoki Mai. Gave a few worms as a reward for still being alive,Hoki Mai,-41.302901091488565,174.7504022194934,
rachel w,Highbury Fling,2023-12-04,17:00,Overcast,None,,,66,WM-GO,,,,,,,,Known territory,,Delivered worms to fledgling who is in about the same spot uphill near Rollercoaster ,66,-41.29769233642708,174.7505392149956,
rachel w,Highbury Fling,2023-12-04,17:00,Overcast,None,,,66,RY-WM,,,,,,,,Known territory,,Sitting on branch about 1m above ground. Still seems to be keeping quite low,66,-41.29769233642708,174.7505392149956,
rachel w,Highbury Fling,2023-12-04,17:30,Overcast,None,,,64,GM-WY,,,,,,,,Known territory,,Checked camera. WY came off to see me while I headed back uphill. Didn't seem too hungry,64,-41.298473447882344,174.7503399587341,
rachel w,Highbury Fling,2023-12-04,17:45,Overcast,None,,,62,,,,,,,,,None observed,"Ttp downhill of Public Bath. RM-WB feeding fledglings (unlikely to be hers), unbanded adult male ttp on cam at Secret Bath",,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-12-05,18:23,Overcast,None,,,62,WM-RW,,,,,,,,Known territory,TTP by secret bath and southwards up hill,Singing loudly,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-12-05,18:40,Overcast,None,,,63.1,GM-WY,,,,,,,,Known territory,,Approached me while I wandered back and forth alon stretch of track. Went back to nest after maybe 5 mins,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-12-05,18:45,Overcast,None,,,63.1,WM-RR,,,,,,,,Known territory,,Came from uphill. Feeding the fledglings ,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-12-05,18:45,Overcast,None,,,63.1,WM-OG,,,,,,,,Known territory,,Very bold. Came very close to me while I sat on the slope. Being fed by Ragnar,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-12-05,18:45,Overcast,None,,,63.1,OW-WM,,,,,,,,Known territory,,Hanging back a bit more but also begging and being fed by Ragnar,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-12-06,17:15,Partly cloudy,None,,,66,,,,,,,,,None observed,,Hoping to see GO and fledgling but seems quiet,66,-41.29769233642708,174.7505392149956,
rachel w,Highbury Fling,2023-12-06,17:30,Partly cloudy,None,,,64,GM-WY,,,,,,,,Known territory,,Brief visit before going back to nest,64,-41.298473447882344,174.7503399587341,
rachel w,Highbury Fling,2023-12-06,18:00,Partly cloudy,None,,,63,WM-RR,,,,,,,,Known territory,,Feeding fledglings and foraging,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-12-06,18:00,Partly cloudy,None,,,63,WM-OG,,,,,,,,Known territory,,Begging for food and making token effort at foraging for themselves,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-12-06,18:00,Partly cloudy,None,,,63,OW-WM,,,,,,,,Known territory,,Hopped briefly onto my leg while I sat and watched them,63,-41.29896942789763,174.7507283955656,
melissa b,Highbury Fling,2023-12-07,17:00,Mostly clear,None,,,67,WM-RW,,,,,,,,Incidental,,"Downhill in gully, not sure what he was doing here. Was singing quietly and snuck up on me. A bit unusual for him.",67,-41.297468904471884,174.75072444213993,
rachel w,Highbury Fling,2023-12-07,18:00,Mostly clear,None,,,63.1,OW-WM,,,,,,,,Known territory,,Peering at me from above. Got bored of me soon and went to have a poke around. No begging noises,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-12-07,18:15,Mostly clear,None,,,64,GM-WY,,,,,,,,Known territory,,Sitting on nest,64,-41.298473447882344,174.7503399587341,
rachel w,Highbury Fling,2023-12-09,16:00,Mostly clear,None,,,57,YM-OR,,,,,,,,Known territory,,Appeared while I checked the bowl bath camera. Chasing fantails,57,-41.302015373577966,174.7501822420483,
rachel w & annette,Highbury Fling,2023-12-09,,Mostly clear,None,,,63,WM-RR,,,,,,,,Known territory,,Still feeding both fledglings,63,-41.29896942789763,174.7507283955656,
rachel w & annette,Highbury Fling,2023-12-09,,Mostly clear,None,,,63,OW-WM,,,,,,,,Known territory,,,63,-41.29896942789763,174.7507283955656,
rachel w & annette,Highbury Fling,2023-12-09,,Mostly clear,None,,,63,WM-OG,,,,,,,,Known territory,,,63,-41.29896942789763,174.7507283955656,
rachel w & annette,Highbury Fling,2023-12-09,,Mostly clear,None,,,64,GM-WY,,,,,,,,Known territory,,Incubating,64,-41.298473447882344,174.7503399587341,
rachel w & annette,Highbury Fling,2023-12-09,,Mostly clear,None,,,67,WM-GO,,,,,,,,Known territory,,Feeding fledgling ,67,-41.297468904471884,174.75072444213993,
rachel w & annette,Highbury Fling,2023-12-09,,Mostly clear,None,,,67,RY-WM,,,,,,,,Known territory,,Seems ok. A lot more curious and looking grown up,67,-41.297468904471884,174.75072444213993,
rachel w,Highbury Fling,2023-12-10,,Overcast,Showery,,,67,WM-GO,,,,,,,,Known territory,Cat (Burmese?) walking up from GD Park toward fence line,Closer to trail today,67,-41.297468904471884,174.75072444213993,
rachel w,Highbury Fling,2023-12-10,,Overcast,Showery,,,67,RY-WM,,,,,,,,Known territory,,More mobile even than yesterday. Flying around after GO,67,-41.297468904471884,174.75072444213993,
rachel w,Highbury Fling,2023-12-10,,Overcast,Showery,,,64,GM-WY,,,,,,,,Known territory,,Still incubating,64,-41.298473447882344,174.7503399587341,
rachel w,Highbury Fling,2023-12-10,,Overcast,Showery,,,61,WM-RW,,,,4,4,,,Known territory,,Feeding and chattering with unbanded bird by Public Bath,61,-41.299977561255695,174.75064038086316,
rachel w,Highbury Fling,2023-12-10,,Overcast,Showery,,,61,,,,,2,,,4,Incidental,,Being fed by RW. Very curious and not scared of me at all but may not be familiar with mealworms and didn't rush to pick them up. Stashed the ones that RW gave. Did approach my mealworm container and poke it while it sat on the ground next to me,61,-41.299977561255695,174.75064038086316,
rachel w,Highbury Fling,2023-12-11,17:30,,,,,61,WM-RW,,,,,,,,Known territory,,Feeding Unbanded,61,-41.299977561255695,174.75064038086316,
rachel w,Highbury Fling,2023-12-11,17:30,,,,,61,,,,,,,,,Known territory,,Following RW and being fed by him. Some begging when he comes close with food but usually just chirping back and forth,61,-41.299977561255695,174.75064038086316,
rachel w,Highbury Fling,2023-12-11,18:00,,,,,63,WM-OG,,,,,,,,Known territory,,Foraging amongst pine needles,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-12-11,18:20,,,,,64,GM-WY,,,,,,,,Known territory,,Mostly on nest but spend some time foraging behind me. Seemed to take food to nest sometimes. Suspect eggs have hatched,64,-41.298473447882344,174.7503399587341,
rachel w,Highbury Fling,2023-12-11,18:20,,,,,64,WM-RR,,,,,,,,Known territory,,Foraging near me for some time but didn't take anything to nest,64,-41.298473447882344,174.7503399587341,
rachel w,Highbury Fling,2023-12-11,18:20,,,,,64,OW-WM,,,,,,,,Known territory,,Followed RR making begging noises. Chased away from nest by WY,64,-41.298473447882344,174.7503399587341,
rachel w,Highbury Fling,2023-12-11,,,,,,67,WM-GO,,,,,,,,Known territory,,Fledgling in tow,67,-41.297468904471884,174.75072444213993,
rachel w,Highbury Fling,2023-12-11,,,,,,67,RY-WM,,,,,,,,Known territory,,Much more confident and following GO around,67,-41.297468904471884,174.75072444213993,
rachel w,Highbury Fling,2023-12-13,17:30,,,,,67,WM-GO,,,,,,,,Known territory,,Showing people from PFNZ. Summoned GO and gave a couple of worms. Disappeared with them uphill,67,-41.297468904471884,174.75072444213993,
rachel w,Highbury Fling,2023-12-13,17:30,,,,,67,GM-WY,,,,,,,,Known territory,,She must've heard us talking up on the trail and came to investigate. Foraged for a bit,67,-41.297468904471884,174.75072444213993,
rachel w,Highbury Fling,2023-12-13,17:30,,,,,67,WM-RR,,,,,,,,Known territory,,Appeared by trail while we talked and foraged there for a while,67,-41.297468904471884,174.75072444213993,
rachel w,Highbury Fling,2023-12-13,17:30,,,,,62,WM-RW,,,,,,,,Known territory,,At lone pine. Still feeding the unbanded,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-12-13,17:30,,,,,62,,,,,,,,,Known territory,,Takes food from RW but seems non-commital about it,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-12-14,16:45,,,,,67,WM-GO,,,,,,,,Known territory,,Uphill just above 67,67,-41.297468904471884,174.75072444213993,
rachel w,Highbury Fling,2023-12-14,16:45,,,,,67,RY-WM,,,,,,,,Known territory,,Uphill just above 67,67,-41.297468904471884,174.75072444213993,
rachel w,Highbury Fling,2023-12-14,17:00,,,,,64,GM-WY,,,,,,,,Known territory,,Sitting on nest. Definitely feeding chicks. Coming off to forage when RR comes with food for chicks,64,-41.298473447882344,174.7503399587341,
rachel w,Highbury Fling,2023-12-14,17:00,,,,,64,WM-RR,,,,,,,,Known territory,,"Picked up a moth while I was there and took it back to nest, Wendy hopped off and he fed to chicks",64,-41.298473447882344,174.7503399587341,
rachel w,Highbury Fling,2023-12-14,17:20,,,,,63,WM-RR,,,,,,,,Known territory,,Not sure if he followed me or just came to check the kids. Mostly ignored children and went toward nest after a few mins,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-12-14,17:20,,,,,63,WM-RW,,,,,,,,Incidental,,"Brief encounter with RR but no fights, just uneasy standoff at edge of territory. Hung around near OW and OG for a while before leaving",63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-12-14,17:20,,,,,63,OW-WM,,,,,,,,Known territory,,Foraging in amongst the pine needles. Stirred up some with my foot for them,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-12-14,17:20,,,,,63,WM-OG,,,,,,,,Known territory,,Foraging amongst the pine needles. Found a big earthworm,63,-41.29896942789763,174.7507283955656,
rachel w,Transient,2023-12-16,,,,,,,,,,,,,,,None observed,,,,,,
rachel w,Windmill,2023-12-16,,,,,,,,,,,,,,,None observed,,,,,,
rachel w,Highbury Fling,2023-12-17,11:00,,,,,64,Chicks,,,,,,,,Known territory,,Chicks could be seen moving around in nest. No parents around but thought I saw someone further down the valley briefly. None approached me,64,-41.298473447882344,174.7503399587341,
melissa b,Highbury Fling,2023-12-19,09:30,,,,,61-62,WM-RW,,,,,,,,Known territory,,"In usual areas doing his usual things, had a bath, singing loudly, then interacting with unbanded.",61,-41.299977561255695,174.75064038086316,
melissa b,Highbury Fling,2023-12-19,09:45,,,,,62,,,,,,,,,Known territory,,"Looks like a young bird, foraging very capably, caught a massive slug, interacting with RW but they seem friendly. Curious about me, approcahed and hung around at my feet for ages.",62,-41.29955626741264,174.75077038396424,
melissa b,Highbury Fling,2023-12-19,09:55,,,,,63,?,,,,,,,,Known territory,,One male singing loudly from pines uphill from 63. Saw an altercation. Assuming this was RR chasing away unbanded.,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-12-19,16:45,,,,,64,WM-RR,,,,,,,,Known territory,,Near nest but didn't seem interested in nest. Offered worms and he ate them and then stashed. No sign of Wendy. No movement seen on nest,64,-41.298473447882344,174.7503399587341,
rachel w,Highbury Fling,2023-12-19,17:15,,,,,61,WM-RW,,,,,,,,Known territory,,Approached me while I was checking secret bath camera. Fed the unbanded accompanying him,61,-41.299977561255695,174.75064038086316,
rachel w,Highbury Fling,2023-12-19,17:15,,,,,61,,,,,,,,,Known territory,,Following WM-RW. Getting closer to us than RW was. Still very curious,61,-41.299977561255695,174.75064038086316,
annette h + rachel w,Highbury Fling,2023-12-20,,Mostly clear,None,,,61,WM-WB,WM-WB,S,Un,,,,,Known territory,,Being fed by WM-RW,61,-41.299977561255695,174.75064038086316,
annette h + rachel w,Highbury Fling,2023-12-20,,Mostly clear,None,,,61,WM-RW,,,,,,,,Known territory,,"Feeding UB, now WM-WB",61,-41.299977561255695,174.75064038086316,
annette h + rachel w,Highbury Fling,2023-12-20,,Mostly clear,None,,,65-68,none,,,,,,,,Known territory,,"Searched for WM-GO and RY-WM, even using playback calls, but no sign of either",65,-41.29814526261168,174.7508770999221,
melissa b,Highbury Fling,2023-12-21,,Mostly clear,None,,,62,WM-RW,,,,,,,,Known territory,,"Brief interaction, approached me and foraged around me.",62,-41.29955626741264,174.75077038396424,
melissa b,Highbury Fling,2023-12-21,,Mostly clear,None,,,64,WM-RR,,,,,,,,Known territory,,"Flew to track from uphill, fresh from a bath.",64,-41.298473447882344,174.7503399587341,
rachel w,Highbury Fling,2023-12-22,,Mostly clear,None,,,62,WM-RW,,,,,,,,Known territory,"Cuckoo in nest, ttp",,62,-41.29955626741264,174.75077038396424,
melissa b,Highbury Fling,2023-12-23,,Partly cloudy,None,,,62,WM-WB,,,,,,,,Known territory,,"Missing metal band. Very friendly, hung around with me while I watched a nest. Attacked the nest which has a shining cuckoo nestling inside. Very chatty and friendly with RW.",62,-41.29955626741264,174.75077038396424,
melissa b,Highbury Fling,2023-12-23,,Partly cloudy,None,,,62,WM-RW,,,,,,,,Known territory,,"Singing to himself, then chatting and interacting with WB.",62,-41.29955626741264,174.75077038396424,
melissa b,Highbury Fling,2023-12-23,,Partly cloudy,None,,,67,WM-GO,,,,,,,,Known territory,,Was quietly foraging by himself. No sign of his fledgling although it was a brief encounter.,67,-41.297468904471884,174.75072444213993,
rachel w,Highbury Fling,2023-12-25,,Partly cloudy,None,,,63-62,WM-WB,,,,,,,,Known territory,,Foraging on trail near 63. Joined later by RW,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2023-12-25,,Partly cloudy,None,,,62,WM-RW,,,,,,,,Known territory,"Riroriro parents feeding cuckoo, now fledged, near Trap 63","Near old grey warbler nest, now empty",62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2023-12-30,,Mostly clear,None,,,64,WM-RR,,,,,,,,Known territory,,Quietly approached while I went down to retreive trail camera,64,-41.298473447882344,174.7503399587341,
rachel w,Highbury Fling,2023-12-30,,Mostly clear,None,,,Hoki Mai,YM-OR,,,,,,,,Known territory,,"No singing, appeared a few switch-backs up from the bottom of Hoki Mai",Hoki Mai,-41.302901091488565,174.7504022194934,
annette h,Highbury Fling,2023-12-30,18:15,Mostly clear,None,,,62,WM-RW,,,,,,,,Known territory,,"THey are loosely together, but no food sharing",62,-41.29955626741264,174.75077038396424,
annette h,Highbury Fling,2023-12-30,18:20,Mostly clear,None,,,62,WM-WB,,,,,,,,Known territory,,"THey are loosely together, but no food sharing. Quite wary",62,-41.29955626741264,174.75077038396424,
camera trap 61,Highbury Fling,2023-12-31,,,None,,,61,WW-WM,,,,,,,,,,,61,-41.299977561255695,174.75064038086316,
melissa b + rachel w,Highbury Fling,2024-01-01,09:20,Mostly clear,None,,,64,WM-RR,,,,,,,,Known territory,,Chasing away OG.,64,-41.298473447882344,174.7503399587341,
melissa b + rachel w,Highbury Fling,2024-01-01,09:20,Mostly clear,None,,,64,WM-OG,,,,,,,,Known territory,,"Hanging around downhill, begging dad RR but getting chased away.",64,-41.298473447882344,174.7503399587341,
melissa b + rachel w,Highbury Fling,2024-01-01,10:00,Mostly clear,None,,,62,WM-WB,,,,1,,1,,Known territory,,Hanging around near track.,62,-41.29955626741264,174.75077038396424,
melissa b + rachel w,Highbury Fling,2024-01-01,10:00,Mostly clear,None,,,62,WM-RW,,,,3,,2,1,Known territory,,Singing loudly and chasing away WB.,62,-41.29955626741264,174.75077038396424,
melissa b + rachel w,Highbury Fling,2024-01-01,11:20,Mostly clear,None,,,56,PuM-RB,,,,,,,,Incidental,,Not friendly at all. Perching on right leg a lot.,56,-41.30243644856764,174.7503613804481,
rachel w,Highbury Fling,2024-01-03,,Mostly clear,None,,,61,WM-RW,,,,,,,,Known territory,,,61,-41.299977561255695,174.75064038086316,
rachel w,Highbury Fling,2024-01-03,,Mostly clear,None,,,61,WM-WB,,,,,,,,Known territory,,,61,-41.299977561255695,174.75064038086316,
lisa w,Highbury Fling,2024-01-03,,,,,,Hoki Mai,YM-OR,,,,,,,,Known territory,,(added to sheet by Rachel),Hoki Mai,-41.302901091488565,174.7504022194934,
melissa b,Highbury Fling,2024-01-04,09:30,Mostly clear,None,,,67,WM-GO,,,,,,,,Known territory,,Sneaking around while I was watching ttp nest.,67,-41.297468904471884,174.75072444213993,
rachel w,Highbury Fling,2024-01-05,11:30,Overcast,None,,,62,WM-RW,,,,,,,,Known territory,,,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2024-01-05,11:30,Overcast,None,,,62,WM-WB,,,,,,,,Known territory,"Fledgling cuckoo, Ttp mobbing ruru near 60-61",,62,-41.29955626741264,174.75077038396424,
melissa b,Highbury Fling,2024-01-07,10:45,Overcast,None,,,62,WM-WB,,,,,,,,Known territory,,"Very friendly, approached me on track, not scared away by runners.",62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2024-01-08,17:00,Mostly clear,None,,,,,,,,,,,,None observed,"Hihi heard at 63, dead nestling (tui?) near public bath",Quick walk but no toutouwai seen,,,,
facebook anon,Highbury Fling,2024-01-08,,Mostly clear,None,,,68,WM-GO,,,M,,,,,Known territory,,DECEASED. Reported dead by FB group member. Body retreived by Tracey,68,-41.29740398706121,174.75138937022044,
rachel w,Highbury Fling,2024-01-10,17:00,Mostly clear,None,,,62,WM-RW,,,,,,,,Known territory,Two ruru chased by kaka,Alarm calling at a ruru uphill from trail,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2024-01-10,17:00,Mostly clear,None,,,62,WM-WB,,,,,,,,Known territory,,Alarm calling at a ruru uphill from trail,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2024-01-12,,Mostly clear,None,,,67,,,,,,,,,Call heard only,Titipounamu fledging,Toutouwai briefly heard downhill in 66-67 gully area. Did not approach us,67,-41.297468904471884,174.75072444213993,
rachel w,Highbury Fling,2024-01-13,11:15,Mostly clear,None,,,62,WM-RW,,,,,,,,Known territory,3 x dead fantail (?) nestlings on trail. Very squashed,Calling and arguing downhill near 62,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2024-01-13,11:15,Mostly clear,None,,,62,WM-WB,,,,,,,,Known territory,,Calling and arguing downhill near 62,62,-41.29955626741264,174.75077038396424,
rachel w,Highbury Fling,2024-01-13,12:30,Mostly clear,None,,,Hoki Mai,YM-OR,,,,,,,,Known territory,,Near bottom of Hoki Mai. Still very quiet ,Hoki Mai,-41.302901091488565,174.7504022194934,
camera trap 57,Highbury Fling,2024-01-13,18:00,Mostly clear,None,,,57,,,,,,,,,Incidental,,Spends 15 minutes splashing in the water and exploring the area around the bowl. Seems young and goofy,57,-41.302015373577966,174.7501822420483,
camera trap 57,Highbury Fling,2024-01-13,18:05,Mostly clear,None,,,57,PuM-RB,,,,,,,,Incidental,,Appears alongside unbanded. Watches the unbanded while it bathes and has a quick drink,57,-41.302015373577966,174.7501822420483,
camera trap 57,Highbury Fling,2024-01-14,07:42,,,,,57,,,,,,,,,Incidental,,Playing in the bowl again,57,-41.302015373577966,174.7501822420483,
camera trap 57,Highbury Fling,2024-01-14,07:47,,,,,57,PuM-RB,,,,,,,,Incidental,,Adult arrives and feeds unbanded,57,-41.302015373577966,174.7501822420483,
camera trap 57,Highbury Fling,2024-01-14,10:00,,,,,57,,,,,,,,,Incidental,,Playing in water bowl again,57,-41.302015373577966,174.7501822420483,
camera trap 57,Highbury Fling,2024-01-15,07:22,,,,,57,,,,,,,,,Known territory,,,57,-41.302015373577966,174.7501822420483,
rachel w,Highbury Fling,2024-01-15,17:00,,,,,63.1,WM-RR,,,,,,,,Known territory,"Off leash medium dog, ttp family at 68",,63,-41.29896942789763,174.7507283955656,
camera trap 57,Highbury Fling,2024-01-16,07:29,,,,,57,,,,,,,,,Known territory,,Prolonged swim and play,57,-41.302015373577966,174.7501822420483,
rachel w,Highbury Fling,2024-01-16,17:30,,,,,63.1,WM-RR,,,,,,,,None observed,"Off leash small dog, ttp family at 70",,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2024-01-17,17:00,,,,,,,,,,,,,,None observed,,,,,,
camera trap 57,Highbury Fling,2024-01-17,18:00,,,,,57,,,,,,,,,Known territory,,,57,-41.302015373577966,174.7501822420483,
camera trap 57,Highbury Fling,2024-01-17,18:45,,,,,57,PuM-RB,,,,,,,,Known territory,,,57,-41.302015373577966,174.7501822420483,
camera trap 57,Highbury Fling,2024-01-18,07:42,,,,,57,,,,,,,,,Known territory,,Another long bath,57,-41.302015373577966,174.7501822420483,
rachel w,Highbury Fling,2024-01-18,17:00,Overcast,None,,,Hoki Mai,,,,,,,,,None observed,,,Hoki Mai,-41.302901091488565,174.7504022194934,
rachel w,Highbury Fling,2024-01-18,17:30,Overcast,None,,,61,WM-RW,,,,,,,,Known territory,,Appeared while I checked camera. Both appeared to have been singing near 62. A bit of squabbling,61,-41.299977561255695,174.75064038086316,
rachel w,Highbury Fling,2024-01-18,17:30,Overcast,None,,,61,WM-WB,,,,,,,,Known territory,,Appeared while I checked camera. Both appeared to have been singing near 62. A bit of squabbling,61,-41.299977561255695,174.75064038086316,
simon,Highbury Fling,2024-01-20,17:30,Overcast,None,,,61,RY-GM,,,,,,,,Incidental,,Splish splash!,61,-41.299977561255695,174.75064038086316,
melissa b,Highbury Fling,2024-01-21,09:10,Mostly clear,None,,,63.1,WM-RR,,,,,,,,Known territory,,Singing downhill. Approached after a few minutes.,63,-41.29896942789763,174.7507283955656,
melissa b,Highbury Fling,2024-01-21,09:15,Mostly clear,None,,,63,,,,,,,,,Incidental,,Juvenile unbanded bird. Very capable of foraging but otherwise seemed a bit lost.,63,-41.29896942789763,174.7507283955656,
melissa b + rachel w,Highbury Fling,2024-01-21,10:00,Mostly clear,None,,,61,WM-RW,,,,,,,,Known territory,,Yelling at a ruru.,61,-41.299977561255695,174.75064038086316,
melissa b + rachel w,Highbury Fling,2024-01-21,10:00,Mostly clear,None,,,61,WM-WB,,,,,,,,Known territory,,Yelling at a ruru.,61,-41.299977561255695,174.75064038086316,
melissa b + rachel w,Clinical,2024-01-21,12:00,Mostly clear,None,,,82,U?,,,,,,,,Incidental,,Bird appeared after having a bath. Appeared to be adult and unbanded but not 100% sure. Called briefly and call was answered from uphill,82,-41.2989813808858,174.75224327721347,
rachel w,Highbury Fling,2024-01-23,18:00,Partly cloudy,None,,,63,,,,,5,,4,1,Incidental,,Standing on path near 63. Looks quite young. Tapped and threw some worms which it hesitantly accepted,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2024-01-23,18:00,Partly cloudy,None,,,63,,,,,,,,,Call heard only,,Brief song heard in gully below 66. Probably RR,63,-41.29896942789763,174.7507283955656,
rachel w,Clinical,2024-01-24,17:40,Mostly clear,None,,,87,,,,,,,,,None observed,"Titipounamu x 3: CG-YM, adult male, juvenile female above stream uphill",,87,-41.30046030107812,174.75287691660583,
rachel w,Clinical,2024-01-24,17:50,Mostly clear,None,,,82,WM-OG,,,,,,,,Incidental,,"Below trail near stream, alarm calling. Tapped and made noise to see who it was. Gave a few worms for coming",82,-41.2989813808858,174.75224327721347,
rachel w,Clinical,2024-01-24,17:55,Mostly clear,None,,,81,,,,,,,,,Incidental,,Landed on railing as I crossed bridge right by 81. Was familiar with mealworms so could be same UB from 63 as  it's not far from 81,81,-41.29881565124148,174.75160611001144,
rachel w,Highbury Fling,2024-01-24,18:20,Mostly clear,None,,,67,,,,,5,,4,1,Incidental,Titipounamu family above 67 and also TTP heard below 64-65,Didn't seem terribly familiar with mealworms. Dropped them a lot. ,67,-41.297468904471884,174.75072444213993,
rachel w,Highbury Fling,2024-01-24,18:50,Mostly clear,None,,,61,WM-WB,,,,,,,,Known territory,Titipounamu near 62 and 3 kakariki near Secret Bath,,61,-41.299977561255695,174.75064038086316,
rachel w,Highbury Fling,2024-01-25,17:20,Mostly clear,None,,,63.1,WM-RR,,,,,,,,Known territory,"Titipounamu below 70, at 66 and below 60/59",Looking a little scruffy. Moulting?,63,-41.29896942789763,174.7507283955656,
rachel w,Highbury Fling,2024-01-25,18:00,Mostly clear,None,,,Hoki Mai,,,,,,,,,None observed,,Looked for Oscar. Couldn't see anyone,Hoki Mai,-41.302901091488565,174.7504022194934,
